x,y
0,2.9576453808043386
1,4.393818570027042
2,3.63198188928512
3,8.92216972718032
4,8.46579613116462
5,12.053961828261576
6,11.308440474473265
7,14.403777681094908
8,18.480715962547354
9,18.051279268681043
10,21.64334261956106
11,21.618497673526353
12,25.833380128045114
13,25.53891258171046
14,29.67298732742598
15,32.21241469742518
16,35.088616227742754
17,33.47448187913787
18,37.56404826714849
19,38.08515973441862
20,39.579697050469775
21,42.15906829611993
22,43.04722594739831
23,48.26328825617204
24,46.60046213529028
25,52.6910504105494
26,53.97814625100599
27,56.5303627087796
28,56.17767908830021
29,58.32082057452069
30,63.199503027772806
31,63.452580468041475
32,66.30414094484725
33,64.69129415055048
34,71.23160464848333
35,71.16306298320924
36,71.82933097539465
37,73.68260828053995
38,76.30258799095417
39,79.39920023037857
40,83.49047051851318
41,84.01830214724754
42,82.51600148393912
43,85.1900286053343
44,90.79872085455546
45,90.83169365865355
46,95.3307418674038
47,93.29454688966824
48,97.7195770588808
49,98.35638458663541
50,102.10300168017996
51,102.70266363139406
52,104.02390295060995
53,107.38301299270468
54,110.94641320838392
55,112.88589576520813
56,114.94993508341142
57,114.8131694420313
58,119.48044113082149
59,118.13268573544521
60,119.48747968256448
61,120.91757356130911
62,124.24333837664818
63,126.80765340905012
64,130.20640982114514
65,132.861914938773
66,130.6182898584433
67,135.18157448806062
68,136.4822501366177
69,139.7452117540934
70,142.04078647394175
71,142.1515136121999
72,144.23287643926176
73,144.62546044647675
74,147.3785571422082
75,148.7946989243156
76,151.1070528946465
77,156.10252740218635
78,155.32179060371766
79,160.5941102091172
80,162.20441805586302
81,165.21784824698585
82,164.17791083435037
83,167.69669724592723
84,168.11145986354154
85,170.10702277408765
86,174.52291391472673
87,174.56050519344183
88,178.91116977260126
89,180.50455010096658
90,180.25519333777967
91,183.40941422114471
92,184.10518857712748
93,186.44482160605835
94,187.93545592542583
95,190.49287945126653
96,193.36934618724567
97,196.0630594419229
98,197.03872087078847
99,200.631213115075
