x,y
0,0.14029384282541457
1,0.9227633733702869
2,5.689605982287688
3,6.302460835381165
4,9.26379667990271
5,11.792867922427632
6,12.138949495048983
7,15.906528060115974
8,17.891510315997053
9,21.06218153265281
10,21.257454349662993
11,23.302437153426467
12,26.570309817324205
13,25.437122792659448
14,27.055854976614768
15,28.947626635797118
16,34.92915900290492
17,36.72176925700853
18,36.38914960878242
19,37.96226540426467
20,41.08830551424796
21,41.94087020412976
22,43.75190108897432
23,45.765156276709696
24,49.263323521845884
25,49.32343923956987
26,53.659315788703076
27,56.57907648595354
28,56.99677889310063
29,56.594929793864345
30,60.31496651135749
31,62.50099063546163
32,66.65966049912971
33,68.82948685756
34,70.85544317869139
35,70.87843369654621
36,70.92822236514095
37,76.18734003337624
38,78.37593069245423
39,80.58576419816207
40,82.31924891285328
41,84.86101328159673
42,85.09482134368082
43,85.90189197949424
44,87.90683494079366
45,92.49611444098507
46,92.91900274715907
47,97.3355496387235
48,96.18817336518042
49,98.45333280871934
50,102.19126706196525
51,101.80420662434591
52,104.06834567422356
53,108.77100156070358
54,108.67546199151995
55,111.47201399937325
56,114.9977929300214
57,116.65426569401008
58,115.74579068907603
59,119.17948474379786
60,119.35134182024176
61,121.09860155494755
62,124.59815712800857
63,125.59133473711708
64,126.58003995162511
65,130.9297626406917
66,131.41606749158737
67,133.21703617576694
68,137.70807257943625
69,139.4471211839985
70,140.94117480701877
71,144.09229164427217
72,142.51666524004355
73,145.042664945222
74,150.19044847374718
75,150.24721511678834
76,151.01355880300548
77,155.9988336102363
78,157.67158460952678
79,158.063137935113
80,163.09392862430403
81,165.34348562198997
82,167.09479000169512
83,167.91843631042374
84,169.97541229441975
85,171.31622096855162
86,174.65348052952916
87,174.51078645894862
88,176.425230529621
89,178.69118531307276
90,180.20053410261426
91,182.57939818574746
92,186.2951665191418
93,187.4203052435368
94,190.1967375038933
95,192.38924359155268
96,190.76127824182913
97,194.94176146158352
98,195.6999939228283
99,197.92003544619826
100,202.28478243766725
101,200.97974744103925
102,205.70677937950032
103,207.22865185997864
104,207.72285536363137
105,208.91535751212976
106,211.28380239716702
107,215.27179399275875
108,216.59390288782012
